City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tazovsky,67.4667,78.7,288.17,89,99,2.66,RU,1690150161
84,axim,4.8699,-2.2405,297.97,87,99,2.28,GH,1690150161
85,ribeira grande,38.5167,-28.7,295.25,85,22,2.68,PT,1690150137
86,azadshahr,34.7909,48.5707,297.31,23,74,1.8,IR,1690150162
87,jijel,36.8205,5.7667,306.86,22,0,4.61,DZ,1690150162
88,la passe,45.5549,-0.8967,293.7,86,100,3.74,FR,1690150162
89,borcka,41.3632,41.6765,295.35,86,3,1.11,TR,1690150163
90,galesong,-5.3166,119.3661,294.16,75,7,2.34,ID,1690150163
91,nieuw amsterdam,5.8833,-55.0833,303.24,77,20,1.03,SR,1690150163
92,fort mcmurray,56.7268,-111.381,295.88,60,75,5.66,CA,1690150164
93,torhout,51.0607,3.0984,290.99,82,78,3.58,BE,1690150164
94,suva,-18.1416,178.4415,298.86,73,75,0.0,FJ,1690150164
95,papatowai,-46.5619,169.4708,282.15,95,98,0.98,NZ,1690150165
96,lihue,21.9789,-159.3672,301.92,74,75,7.2,US,1690150165
97,popondetta,-8.7537,148.2534,296.1,89,46,0.77,PG,1690150165
98,chengde,40.9725,117.9361,293.21,86,6,0.92,CN,1690150171
99,santyoku,37.4406,129.1708,298.04,92,99,2.52,KR,1690150171
100,saudarkrokur,65.7461,-19.6394,283.31,97,100,0.53,IS,1690150171
101,qom,34.6401,50.8764,306.7,14,62,7.5,IR,1690150172
102,tolanaro,-25.0319,46.9987,292.11,94,13,3.93,MG,1690150172
103,kapuskasing,49.4169,-82.4331,292.41,82,89,2.76,CA,1690150146
104,keflavik,64.0049,-22.5624,285.39,94,75,1.54,IS,1690150173
105,tiksi,71.6872,128.8694,280.05,67,4,2.91,RU,1690150173
106,kuruman,-27.4524,23.4325,282.59,14,98,3.6,ZA,1690150173
107,khandud,36.9513,72.318,290.2,34,0,2.47,AF,1690150174
108,port lincoln,-34.7333,135.8667,285.59,76,100,1.7,AU,1690150174
109,carnarvon,-24.8667,113.6333,288.39,34,0,8.75,AU,1690150175
110,west bay,19.3667,-81.4167,306.19,73,20,5.66,KY,1690150175
111,kasaragod,12.5,75.0,299.0,84,100,3.83,IN,1690150175
112,vytegra,61.0064,36.4481,285.12,90,16,3.43,RU,1690150175
113,enewetak,11.3474,162.3373,301.81,79,72,8.65,MH,1690150145
114,dzierzgon,53.922,19.3471,290.8,83,99,3.13,PL,1690150176
115,kailua-kona,19.6406,-155.9956,303.86,79,40,5.14,US,1690150176
116,daru,-9.0763,143.2092,297.95,71,100,3.52,PG,1690150177
117,kerikeri,-35.2268,173.9474,285.32,95,3,1.79,NZ,1690150177
118,egilsstadir,65.2653,-14.3948,282.5,96,100,1.04,IS,1690150177
119,longmen,24.9597,118.0889,298.47,92,71,0.92,CN,1690150178
120,hermanus,-34.4187,19.2345,285.21,66,46,2.62,ZA,1690150178
121,anadyr,64.75,177.4833,287.43,76,100,3.0,RU,1690150137
122,atafu village,-8.5421,-172.5159,301.76,76,11,6.66,TK,1690150178
123,ndele,8.4109,20.6473,294.78,95,92,1.7,CF,1690150179
124,at-bashi,41.1702,75.8106,287.77,67,97,0.28,KG,1690150179
125,tadine,-21.55,167.8833,294.03,48,9,3.28,NC,1690149986
126,ed damer,17.5928,33.9592,307.83,11,18,4.52,SD,1690150180
127,taco pozo,-25.6167,-63.2833,292.42,40,1,2.78,AR,1690150180
128,dudinka,69.4058,86.1778,284.61,78,43,3.53,RU,1690150127
129,san mariano,7.5,126.0,296.85,85,100,1.77,PH,1690150180
130,la'ie,21.6477,-157.9253,304.13,72,10,5.98,US,1690150181
131,nova sintra,14.8667,-24.7167,296.09,78,96,4.49,CV,1690150158
132,isangel,-19.55,169.2667,296.21,73,100,1.03,VU,1690150181
133,kingston,17.997,-76.7936,306.62,58,20,12.35,JM,1690149904
134,badger,64.8,-147.5333,301.29,46,0,0.0,US,1690150148
135,ondjiva,-17.0667,15.7333,290.74,32,59,2.41,AO,1690150182
136,paranhos,-23.8928,-55.4311,295.17,53,1,2.53,BR,1690150183
137,olinda,-8.0089,-34.8553,298.0,83,40,5.14,BR,1690150183
138,acapulco de juarez,16.8634,-99.8901,305.05,66,40,4.63,MX,1690149984
139,vadso,70.0744,29.7487,281.64,93,100,5.66,NO,1690150184
140,ternate,0.8,127.4,300.13,78,71,5.52,ID,1690150184
141,la paz,-16.5,-68.15,284.5,47,8,4.62,BO,1690150184
142,sulya,12.5667,75.3833,296.26,98,100,0.83,IN,1690150185
143,happy valley-goose bay,53.3168,-60.3315,294.95,83,83,1.95,CA,1690150185
144,mount pearl,47.5166,-52.7813,296.4,88,86,2.24,CA,1690150186
145,richards bay,-28.783,32.0377,291.28,92,38,4.44,ZA,1690150186
146,fernie,49.5,-115.0687,305.07,16,0,2.73,CA,1690150187
147,phan thiet,10.9333,108.1,298.08,89,100,3.08,VN,1690149922
148,longyearbyen,78.2186,15.6401,284.06,66,40,5.66,SJ,1690150187
149,nuuk,64.1835,-51.7216,285.49,71,21,4.12,GL,1690150188
150,west island,-12.1568,96.8225,298.14,83,75,5.66,CC,1690150188
151,minas de marcona,-15.2119,-75.1103,288.08,75,5,5.64,PE,1690150188
152,eyl,7.9803,49.8164,299.34,65,75,12.22,SO,1690150189
153,paragominas,-2.9667,-47.4833,299.24,49,86,1.69,BR,1690150189
154,khorixas,-20.3667,14.9667,289.72,41,9,0.67,NA,1690150189
155,kingscliff,-28.2667,153.5667,289.13,72,40,5.66,AU,1690150190
156,kurduvadi,18.0833,75.4333,296.96,87,100,7.2,IN,1690150190
157,eraan,9.0629,117.7016,299.04,90,100,3.77,PH,1690150191
158,banyuwangi,-8.2325,114.3576,295.69,93,71,0.4,ID,1690150191
159,yemel'yanovo,56.1681,92.6767,289.6,94,0,1.0,RU,1690150191
160,mugia,43.1041,-9.2179,291.43,84,54,3.56,ES,1690150192
161,leer,53.2316,7.461,292.01,92,100,6.39,DE,1690150192
162,verkh-tula,54.8839,82.7762,291.03,94,0,2.0,RU,1690150192
163,kirakira,-10.4544,161.9205,298.32,91,100,2.81,SB,1690150193
164,udachny,66.4167,112.4,292.29,67,86,4.84,RU,1690150193
